"";"subj.id";"age_s_c";"gender";"educ_s_c";"prior.climate.pos";"prior.climate.cert";"prior.climate.imp";"prior.climate.diff";"prior.climate.act";"prior.gmo.pos";"prior.gmo.cert";"prior.gmo.imp";"prior.gmo.diff";"prior.hom.pos";"prior.hom.cert";"prior.hom.imp";"prior.hom.diff";"condition";"topic";"version";"diff";"eff";"frustr";"order";"percc";"resp";"rt";"ideology";"num_c";"crt_c";"Duration__in_seconds";"prior.conc";"ideology.conc";"condition.binary";"eff.index"
"1";4;-0,117874176697707;1;0,0476190476190447;25;37;43;29;41;26;22;34;-21;30;37;19;-33;"hard";"clim";"ns";14;-19;14;2;-12;0;16,282;5,33333333333333;-0,2057267351385;-0,2703081232493;897;"disc";"conc";"1";-2,5
"2";4;-0,117874176697707;1;0,0476190476190447;25;37;43;29;41;26;22;34;-21;30;37;19;-33;"hard";"gmo";"s";11;7;20;3;-20;0;16,151;5,33333333333333;-0,2057267351385;-0,2703081232493;897;"conc";"disc";"1";9
"3";4;-0,117874176697707;1;0,0476190476190447;25;37;43;29;41;26;22;34;-21;30;37;19;-33;"hard";"hom";"ns";28;14;-10;1;-27;1;21,647;5,33333333333333;-0,2057267351385;-0,2703081232493;897;"disc";"neutr";"1";21
"4";5;0,260504201680672;1;-0,285714285714289;50;50;50;-50;50;-50;50;50;-50;50;50;50;-50;"easy";"clim";"s";-50;-50;-50;1;50;1;16,853;6;-0,316837846249611;-0,2703081232493;816;"conc";"disc";"0";-50
"5";5;0,260504201680672;1;-0,285714285714289;50;50;50;-50;50;-50;50;50;-50;50;50;50;-50;"easy";"gmo";"ns";-50;-50;-50;3;50;0;15,964;6;-0,316837846249611;-0,2703081232493;816;"disc";"conc";"0";-50
"6";5;0,260504201680672;1;-0,285714285714289;50;50;50;-50;50;-50;50;50;-50;50;50;50;-50;"easy";"hom";"s";-50;-49;-50;2;50;0;15,668;6;-0,316837846249611;-0,2703081232493;816;"conc";"neutr";"0";-49,5
"7";6;-0,280036338859869;0;0,380952380952378;31;38;44;28;50;40;30;41;42;40;26;41;37;"hard";"clim";"ns";30;30;34;3;22;0;18,353;5;-0,0946156240273884;-0,2703081232493;1158;"disc";"conc";"1";30
"8";6;-0,280036338859869;0;0,380952380952378;31;38;44;28;50;40;30;41;42;40;26;41;37;"hard";"gmo";"ns";31;23;19;2;32;0;20,177;5;-0,0946156240273884;-0,2703081232493;1158;"disc";"conc";"1";27
"9";6;-0,280036338859869;0;0,380952380952378;31;38;44;28;50;40;30;41;42;40;26;41;37;"hard";"hom";"s";39;41;20;1;27;1;18,461;5;-0,0946156240273884;-0,2703081232493;1158;"conc";"neutr";"1";40
"10";7;-0,171928230751761;0;0,380952380952378;50;50;50;50;50;16;18;29;50;-50;50;37;50;"hard";"clim";"s";31;27;50;2;-47;1;16,139;1,33333333333333;0,0164954870837227;-0,2703081232493;950;"conc";"conc";"1";29
"11";7;-0,171928230751761;0;0,380952380952378;50;50;50;50;50;16;18;29;50;-50;50;37;50;"hard";"gmo";"ns";33;25;50;3;-50;0;16,084;1,33333333333333;0,0164954870837227;-0,2703081232493;950;"disc";"disc";"1";29
"12";7;-0,171928230751761;0;0,380952380952378;50;50;50;50;50;16;18;29;50;-50;50;37;50;"hard";"hom";"ns";30;34;50;1;-48;1;17,733;1,33333333333333;0,0164954870837227;-0,2703081232493;950;"disc";"neutr";"1";32
"13";9;-0,117874176697707;1;0,0476190476190447;19;23;34;-50;20;-11;16;14;-50;-50;50;32;-50;"easy";"clim";"s";28;26;-14;1;17;1;18,258;6;0,127606598194834;0,0630252100840336;1040;"conc";"disc";"0";27
"14";9;-0,117874176697707;1;0,0476190476190447;19;23;34;-50;20;-11;16;14;-50;-50;50;32;-50;"easy";"gmo";"s";26;20;-18;2;19;0;19,913;6;0,127606598194834;0,0630252100840336;1040;"conc";"disc";"0";23
"15";9;-0,117874176697707;1;0,0476190476190447;19;23;34;-50;20;-11;16;14;-50;-50;50;32;-50;"easy";"hom";"ns";19;18;-10;3;15;0;21,001;6;0,127606598194834;0,0630252100840336;1040;"disc";"neutr";"0";18,5
"16";10;0,125369066545537;1;0,380952380952378;15;10;19;4;18;17;13;8;8;21;17;20;21;"hard";"clim";"ns";15;16;8;2;11;0;16,158;4,33333333333333;-0,0946156240273884;-0,2703081232493;816;"disc";"conc";"1";15,5
"17";10;0,125369066545537;1;0,380952380952378;15;10;19;4;18;17;13;8;8;21;17;20;21;"hard";"gmo";"ns";28;24;21;1;1;0;16,479;4,33333333333333;-0,0946156240273884;-0,2703081232493;816;"disc";"conc";"1";26
"18";10;0,125369066545537;1;0,380952380952378;15;10;19;4;18;17;13;8;8;21;17;20;21;"hard";"hom";"ns";-1;17;-10;3;3;0;18,545;4,33333333333333;-0,0946156240273884;-0,2703081232493;816;"disc";"neutr";"1";8
"19";12;0,0307744719509421;0;0,0476190476190447;40;41;42;-30;34;-17;32;21;15;35;37;18;-20;"easy";"clim";"s";31;34;33;2;15;1;16,797;3,33333333333333;-0,427948957360722;-0,2703081232493;729;"conc";"conc";"0";32,5
"20";12;0,0307744719509421;0;0,0476190476190447;40;41;42;-30;34;-17;32;21;15;35;37;18;-20;"easy";"gmo";"s";20;36;16;1;15;0;19,963;3,33333333333333;-0,427948957360722;-0,2703081232493;729;"conc";"conc";"0";28
"21";12;0,0307744719509421;0;0,0476190476190447;40;41;42;-30;34;-17;32;21;15;35;37;18;-20;"easy";"hom";"s";33;32;38;3;11;1;30,501;3,33333333333333;-0,427948957360722;-0,2703081232493;729;"conc";"neutr";"0";32,5
"22";13;-0,185441744265274;1;0,0476190476190447;1;-29;-21;21;-50;-2;-50;-41;27;-1;-34;26;15;"easy";"clim";"ns";20;-29;41;2;-36;0;16,753;6;-0,2057267351385;-0,2703081232493;1216;"disc";"conc";"0";-4,5
"23";13;-0,185441744265274;1;0,0476190476190447;1;-29;-21;21;-50;-2;-50;-41;27;-1;-34;26;15;"easy";"gmo";"s";9;-30;50;1;-49;0;16,297;6;-0,2057267351385;-0,2703081232493;1216;"conc";"disc";"0";-10,5
"24";13;-0,185441744265274;1;0,0476190476190447;1;-29;-21;21;-50;-2;-50;-41;27;-1;-34;26;15;"easy";"hom";"ns";18;-29;17;3;-36;1;15,936;6;-0,2057267351385;-0,2703081232493;1216;"disc";"neutr";"0";-5,5
"25";14;-0,171928230751761;0;0,380952380952378;50;36;21;50;50;-28;-25;-7;15;23;13;9;11;"hard";"clim";"ns";16;19;-40;1;21;0;22,6;4;0,127606598194834;0,0630252100840336;1137;"disc";"neutr";"1";17,5
"26";14;-0,171928230751761;0;0,380952380952378;50;36;21;50;50;-28;-25;-7;15;23;13;9;11;"hard";"gmo";"ns";-8;12;-47;3;13;0;16,04;4;0,127606598194834;0,0630252100840336;1137;"disc";"neutr";"1";2
"27";14;-0,171928230751761;0;0,380952380952378;50;36;21;50;50;-28;-25;-7;15;23;13;9;11;"hard";"hom";"ns";20;20;-26;2;13;1;16,654;4;0,127606598194834;0,0630252100840336;1137;"disc";"neutr";"1";20
"28";15;-0,171928230751761;1;0,380952380952378;13;12;6;5;10;-19;20;2;3;5;5;6;1;"hard";"clim";"s";1;1;1;3;1;1;81,081;2,66666666666667;0,127606598194834;0,0630252100840336;2411;"conc";"conc";"1";1
"29";15;-0,171928230751761;1;0,380952380952378;13;12;6;5;10;-19;20;2;3;5;5;6;1;"hard";"gmo";"ns";1;1;1;2;1;0;35,849;2,66666666666667;0,127606598194834;0,0630252100840336;2411;"disc";"disc";"1";1
"30";15;-0,171928230751761;1;0,380952380952378;13;12;6;5;10;-19;20;2;3;5;5;6;1;"hard";"hom";"s";11;9;11;1;12;0;29,415;2,66666666666667;0,127606598194834;0,0630252100840336;2411;"conc";"neutr";"1";10
"31";16;-0,0908471496706795;1;0,380952380952378;21;42;31;-50;50;11;21;1;1;-30;31;31;-50;"easy";"clim";"s";10;10;-50;2;50;1;16,213;4,33333333333333;0,349828820417056;0,396358543417367;1348;"conc";"disc";"0";10
"32";16;-0,0908471496706795;1;0,380952380952378;21;42;31;-50;50;11;21;1;1;-30;31;31;-50;"easy";"gmo";"s";11;10;-50;1;50;1;22,508;4,33333333333333;0,349828820417056;0,396358543417367;1348;"conc";"disc";"0";10,5
"33";16;-0,0908471496706795;1;0,380952380952378;21;42;31;-50;50;11;21;1;1;-30;31;31;-50;"easy";"hom";"ns";11;11;-50;3;50;1;20,514;4,33333333333333;0,349828820417056;0,396358543417367;1348;"disc";"neutr";"0";11
"34";17;0,0578014989779692;1;0,380952380952378;-30;43;-34;-30;-50;-32;41;21;-34;-19;31;-37;-30;"hard";"clim";"s";-40;-39;0;1;50;1;83,381;6;0,0164954870837227;-0,2703081232493;2774;"disc";"disc";"1";-39,5
"35";17;0,0578014989779692;1;0,380952380952378;-30;43;-34;-30;-50;-32;41;21;-34;-19;31;-37;-30;"hard";"gmo";"ns";-33;-41;-23;3;35;1;24,655;6;0,0164954870837227;-0,2703081232493;2774;"conc";"conc";"1";-37
"36";17;0,0578014989779692;1;0,380952380952378;-30;43;-34;-30;-50;-32;41;21;-34;-19;31;-37;-30;"hard";"hom";"s";-37;-39;-41;2;38;1;57,006;6;0,0164954870837227;-0,2703081232493;2774;"disc";"neutr";"1";-38
