"";"subj.id";"age_s_c";"gender";"educ_s_c";"prior.climate.pos";"prior.climate.cert";"prior.climate.imp";"prior.climate.diff";"prior.climate.act_1";"prior.gmo.pos";"prior.gmo.cert";"prior.gmo.imp";"prior.gmo.diff";"prior.hom.pos";"prior.hom.cert";"prior.hom.imp";"prior.hom.diff";"condition";"topic";"version";"diff";"eff";"frustr";"order";"percc";"resp";"rt";"ideology";"num_c";"prior.conc";"ideology.conc";"condition.binary"
"1";2;0,182318055064609;0;0,0415537488708225;50;50;50;28;50;10;9;24;32;11;24;2;1;"hard";"clim";"s";-50;-50;-50;2;50;1;27,464;2;-0,403191809695875;"neutr";"conc";"1"
"2";2;0,182318055064609;0;0,0415537488708225;50;50;50;28;50;10;9;24;32;11;24;2;1;"hard";"gmo";"ns";-50;-50;-50;3;50;1;16,488;2;-0,403191809695875;"neutr";"disc";"1"
"3";2;0,182318055064609;0;0,0415537488708225;50;50;50;28;50;10;9;24;32;11;24;2;1;"hard";"hom";"ns";-19;-8;-50;1;50;1;54,036;2;-0,403191809695875;"neutr";"neutr";"1"
"4";4;0,0373905188327247;0;0,0415537488708225;21;21;21;-30;21;-41;31;-10;-45;-50;41;1;-45;"hard";"clim";"ns";-49;-40;-49;1;-47;0;60,948;5,33333333333333;-0,0698584763625419;"conc";"conc";"1"
"5";4;0,0373905188327247;0;0,0415537488708225;21;21;21;-30;21;-41;31;-10;-45;-50;41;1;-45;"hard";"gmo";"ns";-45;-40;-50;3;-47;0;21,006;5,33333333333333;-0,0698584763625419;"conc";"conc";"1"
"6";4;0,0373905188327247;0;0,0415537488708225;21;21;21;-30;21;-41;31;-10;-45;-50;41;1;-45;"hard";"hom";"s";-41;-32;-50;2;-44;0;35,468;5,33333333333333;-0,0698584763625419;"disc";"neutr";"1"
"7";5;0,240289069557362;0;-0,291779584462511;17;-9;14;15;18;-13;31;31;-17;9;-9;12;14;"hard";"clim";"s";29;32;34;2;36;0;38,486;3,66666666666667;-0,180969587473653;"disc";"conc";"1"
"8";5;0,240289069557362;0;-0,291779584462511;17;-9;14;15;18;-13;31;31;-17;9;-9;12;14;"hard";"gmo";"s";34;32;28;1;-16;1;109,745;3,66666666666667;-0,180969587473653;"disc";"conc";"1"
"9";5;0,240289069557362;0;-0,291779584462511;17;-9;14;15;18;-13;31;31;-17;9;-9;12;14;"hard";"hom";"s";29;29;28;3;-25;1;34,902;3,66666666666667;-0,180969587473653;"disc";"neutr";"1"
"10";6;0,109854286948667;1;-0,291779584462511;12;12;18;-20;-5;27;17;17;-26;20;17;-7;-25;"easy";"clim";"ns";15;21;-49;2;14;1;82,282;5;0,263474856970791;"conc";"conc";"0"
"11";6;0,109854286948667;1;-0,291779584462511;12;12;18;-20;-5;27;17;17;-26;20;17;-7;-25;"easy";"gmo";"ns";18;17;-33;1;3;0;88,262;5;0,263474856970791;"conc";"conc";"0"
"12";6;0,109854286948667;1;-0,291779584462511;12;12;18;-20;-5;27;17;17;-26;20;17;-7;-25;"easy";"hom";"ns";22;14;-48;3;14;0;45,8;5;0,263474856970791;"conc";"neutr";"0"
"13";7;0,211303562310986;0;-0,291779584462511;29;43;37;-50;50;10;6;1;-50;1;1;1;-2;"hard";"clim";"s";13;-32;-38;2;26;1;78,414;3,33333333333333;-0,180969587473653;"disc";"conc";"1"
"14";7;0,211303562310986;0;-0,291779584462511;29;43;37;-50;50;10;6;1;-50;1;1;1;-2;"hard";"gmo";"ns";-14;-50;-50;3;36;0;30,037;3,33333333333333;-0,180969587473653;"conc";"disc";"1"
"15";7;0,211303562310986;0;-0,291779584462511;29;43;37;-50;50;10;6;1;-50;1;1;1;-2;"hard";"hom";"ns";-12;22;-28;1;14;1;64,138;3,33333333333333;-0,180969587473653;"conc";"neutr";"1"
"16";8;0,182318055064609;0;-0,291779584462511;-32;-28;-27;-38;10;-12;-8;-9;-11;11;14;14;-40;"easy";"clim";"ns";-9;-10;-8;3;-8;0;78,555;7;-0,292080698584764;"conc";"conc";"0"
"17";8;0,182318055064609;0;-0,291779584462511;-32;-28;-27;-38;10;-12;-8;-9;-11;11;14;14;-40;"easy";"gmo";"s";-11;-10;-10;2;-6;1;56,268;7;-0,292080698584764;"disc";"disc";"0"
"18";8;0,182318055064609;0;-0,291779584462511;-32;-28;-27;-38;10;-12;-8;-9;-11;11;14;14;-40;"easy";"hom";"s";-42;-35;-39;1;-38;0;24,752;7;-0,292080698584764;"disc";"neutr";"0"
"19";9;-0,237971800007855;1;-0,291779584462511;48;50;50;-50;45;-27;34;33;-18;46;36;50;-15;"hard";"clim";"s";-42;-33;23;2;-33;0;12,398;7;-0,292080698584764;"disc";"disc";"1"
"20";9;-0,237971800007855;1;-0,291779584462511;48;50;50;-50;45;-27;34;33;-18;46;36;50;-15;"hard";"gmo";"s";-39;-40;-50;3;24;0;35,401;7;-0,292080698584764;"disc";"disc";"1"
"21";9;-0,237971800007855;1;-0,291779584462511;48;50;50;-50;45;-27;34;33;-18;46;36;50;-15;"hard";"hom";"ns";-26;34;25;1;18;0;29,074;7;-0,292080698584764;"conc";"neutr";"1"
"22";12;0,0953615333254783;1;-0,291779584462511;20;15;2;-5;8;43;39;2;10;3;14;-7;-4;"easy";"clim";"s";11;-8;1;1;-14;0;115,102;4,33333333333333;-0,0698584763625419;"disc";"disc";"0"
"23";12;0,0953615333254783;1;-0,291779584462511;20;15;2;-5;8;43;39;2;10;3;14;-7;-4;"easy";"gmo";"s";2;7;1;2;9;1;79,564;4,33333333333333;-0,0698584763625419;"disc";"disc";"0"
"24";12;0,0953615333254783;1;-0,291779584462511;20;15;2;-5;8;43;39;2;10;3;14;-7;-4;"easy";"hom";"s";36;20;13;3;-19;0;80,701;4,33333333333333;-0,0698584763625419;"disc";"neutr";"0"
"25";14;0,240289069557362;0;-0,291779584462511;20;24;27;25;16;12;18;17;15;29;30;30;27;"hard";"clim";"s";-24;-26;-21;2;50;1;21,836;4,66666666666667;-0,0698584763625419;"disc";"disc";"1"
